A1CF	ANKHD1	ANKRD17	CELF4	CELF3	CPEB3	CPEB2	DAZAP1	FMR1	RBFOX2	RBFOX3	SRSF12	SRSF10	FXR2	G3BP2	HNRNPA1	HNRNPA3	HNRNPA1P7	HNRNPA1P36	HNRNPA1L2	HNRNPA2B1	HNRNPC	HNRNPK	HNRNPL	ELAVL1	ELAVL3	IGF2BP2	KHDRBS3	LIN28A	LIN28B	MATR3	MBNL3	MBNL2	MBNL1	MSI1	MSI2	PABPC4	PABPC1L	PCBP4	PCBP3	PCBP2	PPRC1	QKI	RBM28	CIRBP	RBM3	RBM38	RBM4B	RBM4	RBM14	RBM41	RBM46	RBM47	RBM5	RBM8A	RBMS2	RBMS3	RBMS2P1	SRSF3	SAMD4A	SAMD4B	SART3	SRSF9	SNRNP70	SNRPA	SNRPB2	SRSF2	SRSF8	SRSF7	TUT1	TARDBP	TIA1	U2AF2	YBX3	YBX1	YBX2	ZC3H10	ZCRB1	SRSF1	MEX3C	MEX3D	MEX3B	SRSF4	SRSF6	ENOX1	ENOX2	ESRP2	ESRP1	RBM42	RBMS1	PABPC3	PABPC1	CNOT4	PABPN1	PABPN1L	CPEB4	RALY	HNRNPH2	HNRNPH1	HNRNPF	FXR1	ZNF638	CELF5	HNRNPCL1	RBFOX1	KHDRBS1	RBM6	PABPC5	IGF2BP3	SFPQ	PSPC1	HNRNPLL	RBM24	KHDRBS2	PCBP1	CELF6	SF3B4	RBM45	HNRNPDL	PTBP1	PTBP2	PTBP3	EIF2S1	HNRNPR	SYNCRIP	NCL	RBMY1F	RBMXL2	RBMXL3	RBMXL1	RBMY1J	RBMY1A1	RBMY1E	RBMY1B	RBMY1D	ACO1	ZFP36	ZFP36L2	ZFP36L1	EIF4B	IGF2BP1	NONO	FUS	TAF15	NOVA2	ELAVL2	RBMX	YTHDC1
CCT8	1	0	0	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0
ATP1B3	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0
MOB1B	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1
EIF4E	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0
OXCT1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1
TMED7	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0
GEMIN5	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0
IMPA1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0
PABPC1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0
YWHAZ	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0
CHMP5	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0
GOLGA2	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0
VAMP7	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0
RAB6A	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0
TCEB1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0
SEC22B	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0
SEC11A	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0
TFG	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1
ABHD10	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0
TARS	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1
SYNE1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1
RCC1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0
PGM1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0
HIST2H2AA4	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1
TOMM20	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0
GOT1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0
RIC8A	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
GANAB	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0
PFKM	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0
TUBA1B	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0
SHMT2	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0
HSP90AA1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0
ANP32A	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0
TCEB2	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0
AFG3L2	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1
U2AF2	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0
RPS7	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0
EIF5B	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0
FARSB	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1
PPP1R7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0
HM13	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0
QDPR	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0
DHX16	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0
